"index"	"name"	"continent"	"added_on_mm_dd_yyyy"	"link"	"application_deadlines"	"note_tenure_track_only_there_is_another_work_sheet_for_ntt"	"x1st_round_notice"	"email_phone"	"how_many"	"track"	"x2nd_round_notice"	"email_phone_2"	"number_in_2nd_round"	"track_2"	"comment_virtual_or_onsite"	"number_positions"	"offers_made"	"accepted"	"declined"	"who_took_the_offer_congrats"	"note_1"	"note_2"	"note_3"	"note_4"	"note_5"	"note_6"	"note_7"	"note_8"	"note_9"	"note_10"	"note_11"	"note_12"	"first_round_sent_percent"	"job"	"first_round"	"flyout"	"website"
"29"	"University of Nebraska-Lincoln"	NA	"05/28/2024"	"https://employment.unl.edu/postings/91603"	"06/24/2024"	"Starting Fall 2024. Demonstrated ability to conduct high-quality research in the areas of social media, digital marketing, branding, and influencer marketing aimed at top-tier marketing journals.
> Typo? << not a typo. under position summary it says \"The College of Business at the University of Nebraska-Lincoln seeks applicants for one tenure-track position starting Fall 2024\" << They are waiting for approval for a Fal 2025 hiring line<< Receiced the email to say that they have hired someone. "	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://employment.unl.edu"
"30"	"Louisiana Tech University"	NA	""	"https://ulsltu.wd1.myworkdayjobs.com/en-US/LATECHCareers/details/Assistant-Professor---Marketing-and-Analysis_R-1268-1"	""	"Starting September 2024"	""	""	""	" "	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://ulsltu.wd1.myworkdayjobs.com"
"31"	"University of Colorado Colorado Springs"	NA	"05/29/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178805215&Title=Assistant%20Professor%20of%20Marketing"	"08/30/2024"	"No sponsor for working visas; balanced/teaching position, $126-135k; FIVE rec letters"	"09/05/2024; 11/1/2024"	"Rejection (3)"	"1"	"CB (1)"	""	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"34"	"Duke University"	NA	"05/30/2024"	"https://academicjobsonline.org/ajo/jobs/27701"	"07/05/2024"	""	"07/31/2024"	"Email"	"8"	"Quant (6) 
CB (2)"	"08/21/2024"	"Email"	"2"	"Quant (1) CB(1)"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://academicjobsonline.org"
"35"	"University of Arkansas"	NA	"06/03/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178809809&Title=Assistant%2FAssociate%20Professor%20of%20Marketing%20(Open%20Rank)"	"08/02/2024"	"Open Rank; At least two years of experience as an Assistant Professor(preferred)"	"08/02/2024"	"Email"	"rejected (\"it has been determined that you do not meet all the required qualifications as outlined in the position announcement\") +15"	"CB (1)"	"09/04/2024"	"Email requesting a phonecall"	"1"	"CB (1)"	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"36"	"The University of Chicago"	NA	"06/04/2024"	"https://apply.interfolio.com/145121"	"07/08/2024"	"At least 2 CB"	"08/05/2024"	"Email"	"4"	"Quant (2) 
CB (2)"	"08/20/2024
08/21/2024"	"Email"	"2"	"CB (2)"	""	"0"	""	""	""	"not making an offer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"39"	"Université Laval"	NA	"06/03/2024"	""	"09/01/2024"	""	"09/03/2024"	"Email"	"4"	"CB(2)
Quant (2)"	"09/16/2024
09/23/2024"	"email"	"2"	"CB (2)"	"onsite"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
"41"	"Washington and Lee University"	NA	"06/05/2024"	"https://jobs.chronicle.com/job/37663929/assistant-professor-of-business-administration-marketing/"	"07/29/2024"	"Application review will begin July 29 and will continue on a rolling basis until the positions are filled."	"08/05/2024
08/06/2024
08/14/2024"	"Email"	"12 (rejected), 3"	"CB (3) 
Quant (1)"	"08/28/2024;
09/25/2024"	"email"	"1+"	"CB (1)"	""	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"42"	"The University of British Columbia"	NA	"06/05/2024"	"https://www.sauder.ubc.ca/about-ubc-sauder/careers/opportunities"	"07/05/2024"	"Deadline is July 5th on website..."	"07/17/2024"	"Email"	"18"	"Quant (9) 
CB (9)"	"08/05/2024; 08/16/2024;  08/26/2024"	"Phone (flyout); email (rejection)"	"5"	"Quant (1) 
CB (1)"	""	"1"	"1"	""	"1"	"not making another offer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.sauder.ubc.ca"
"43"	"University of Pennsylvania"	NA	"06/05/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178813299&Title=Assistant%20Professor%20of%20Marketing%2C%20The%20Wharton%20School%202024-2025"	"07/15/2024"	""	"08/02/2024"	"Phone"	"6"	"CB (4) 
Quant (2)"	"08/28/2024"	"email"	"1"	"CB (1)"	""	"0"	""	""	""	"not making an offer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"44"	"University of North Carolina at Wilmington"	NA	"06/07/2024"	"https://jobs.chronicle.com/job/37665114/assistant-or-associate-professor-of-marketing/"	"09/03/2024"	"Social media / digital marketing / AI marketing - assistant or associate"	"09/04/2024 10/2/2024"	"Email"	"4 (rejection), 9 (rejection)"	""	""	""	""	""	""	"1"	"1"	""	""	"made an offer in Oct"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"47"	"Kentucky State University"	NA	"06/07/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178815768&Title=Assistant%20Professor%20of%20Entrepreneurial%20Marketing"	""	"position deleted"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"49"	"Stony Brook University"	NA	"06/10/2024"	"https://apply.interfolio.com/147698"	"07/14/2024"	"Assistant"	"08/20/2024
08/22/2024"	"Email"	"6"	"Quant (2)
CB(4)"	"09/19/2024"	"email"	"2"	"CB (1) Quant (1)"	"onsite"	"1"	"3"	"1"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"51"	"University of Alberta"	NA	"06/12/2024"	"https://apps.ualberta.ca/careers/posting/1050"	"Until Filled"	""	"08/01/2024"	"Email"	"9"	"CB (8)
Quant (1)"	"08/23/2024"	"Email"	"3"	"CB(3)"	"onsite"	"1"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apps.ualberta.ca"
"52"	"New York University"	NA	"06/12/2024"	"https://apply.interfolio.com/147857"	"07/22/2024"	"CB only; $160,000 - $260,000 (not including summer support)"	"08/01/2024 08/02/2024"	"Email"	"13"	"CB (13)"	"08/27/2024"	"Email"	"8 total "	"CB (2)"	"< \"8 total\" is this simply from time slots or is there a list?"	"2"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"53"	"Bellevue College"	NA	"06/12/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178820265&Title=Marketing%2C%20Assistant%20(Tenure-Track)%20Professor"	"05/18/2024"	"Teaching position. Master+ degree required. And a minimum 3-5 years of relevant industry or professional work experience in digital marketing.; Fall Quarter, 2024?
Applications received after 5/18/24 may be considered until the position is filled. This position will begin Fall Quarter, 2024"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"54"	"University of South Florida"	NA	"06/12/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178820656&Title=Assistant%20Professor"	"08/31/2024"	"quant (strong preference)"	"08/15/2024"	"Email"	"2"	"Quant (2)"	""	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"55"	"Illinois State University"	NA	"06/14/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178822235&Title=Assistant%2FAssociate%20Professor%20of%20Marketing"	"07/22/2024"	"Sales/Strategy"	"07/30/2024
08/01/2024"	"Email"	"5"	"Strategy (2) 
Quant (2)
CB (1)"	"08/15/2024"	"Email"	"1"	"Strategy (1)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"56"	"Dartmouth College"	NA	"06/14/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178822145&Title=Faculty%20Search%20in%20Behavioral%20Marketing%2025%2F26"	"07/30/2024"	"CB; candidates at advanced assistant, associate, or full levels"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"57"	"Dartmouth College"	NA	"06/14/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178822146&Title=Faculty%20Search%20in%20Quantitative%20Marketing%2025%2F26"	"07/30/2024"	"Quantitative Marketing; candidates at advanced assistant, associate, or full levels"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"59"	"Felician University"	NA	"06/11/2024"	"https://jobs.chronicle.com/job/37666764/assistant-professor-of-marketing/"	"06/21/2024"	"Teaching position << Position start date is
August 12, 2024"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"61"	"Grove City College School of Business"	NA	"06/19/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178827178&Title=Assistant%2FAssociate%2FFull%20Professor%20of%20Marketing"	"Until Filled"	"Emphasis on Christians & teaching"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"62"	"Grambling State University"	NA	"06/19/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178827109&Title=Associate%2FAssistant%20Professor%20of%20Marketing"	"09/30/2024 but reviews begin 7/2/2024"	"$80,000.00 - $90,000.00 Annually"	"11/01/2024"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"63"	"UCLA"	NA	"06/18/2024"	"https://academicplacement.ama.org/job/assistant-professor-full-professor-marketing/73971426/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"	"07/15/2024"	"All ranks; Assistant: $190,000 - $220,000, inclusive of the salary scale and off-scale salary components.
Start date: Fall 2024! < That's a typo. Once you go into their application website, it says recruiting for 2025-26 academic year"	"07/31/2024"	"Email"	"16"	"CB (5) 
Quant (11)"	"08/21/2024"	"Email"	"3"	"Quant (3)"	"onsite"	"1"	"1"	""	""	""	"?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://academicplacement.ama.org"
"64"	"Penn State"	NA	"06/21/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178829240&Title=Smeal%20Marketing%20Dept.%20open%20rank%20tenure%20track%20position"	"rolling"	"Open rank. preference will be given to those in Consumer Behavior and/or Managerial Marketing"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"65"	"Boston College"	NA	"06/21/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178829508&Title=Tenured%20or%20Tenure-Track%20Faculty%20Position%20in%20Marketing"	"07/12/2024"	"\"Research methods should be quantitative (whether experimental consumer research, empirical modeling, or other)"	"07/16/2024"	"Email"	"16 (30+ based on reserved slots)"	"CB (9)
Quant (7)"	"08/30/2024"	"Phone "	"2"	"Quant (2)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"66"	"California State University, Long Beach"	NA	"06/21/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178830103&Title=Assistant%20Professor%20of%20Marketing"	"07/15/2024"	"Quant; \"theoretical and empirical modeling, with specialization in pricing, marketing analytics, machine learning, AI in marketing communication, and other quantitative marketing areas\""	"09/07/2024"	"Email"	"Rejection (8)"	"Rejection CB (7)"	""	""	""	""	""	"0"	""	""	""	""	"12/10 received an email saying that they cancel the recruitment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"69"	"Wilfrid Laurier"	NA	"06/24/2024"	"https://careers.wlu.ca/job/Waterloo-Assistant-Professor-%28Tenure-Track%29-Marketing-%282-Positions%29-ON/728767147/"	"08/10/2024"	"Looking for Quant or Qualitative, must have received Ph.D. from 2022 or AFTER"	"08/21/2024"	"Email (no first round, just notification of being shortlisted)"	"?"	""	"09/06/2024"	"Email"	"3"	"CB (2) Quant(1)"	""	"2"	"3"	"1"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.wlu.ca"
"74"	"UCSD"	NA	"06/25/2024"	"https://apol-recruit.ucsd.edu/JPF03987"	"07/25/24"	"CB - 1 or more positions.  $220k-250k < 9 month or 12?"	"08/30/2024"	"Email"	"8 (there were 20 spots and i think all are now filled)"	"CB (8)"	"09/16/2024"	"Email"	"7 total"	"CB (2)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apol-recruit.ucsd.edu"
"75"	"George Mason University"	NA	"06/25/2024"	"https://listings.jobs.gmu.edu/jobs/assistant-professor-of-marketing-fairfax-va-virginia-united-states-other"	"07/17/24"	"Prefers \"competence in advanced data analysis such as machine learning, deep learning, natural language processing, or advanced econometric analysis.\""	"07/29/2024 07/30/2024 07/31/2024"	"Email"	"9"	"Quant (6)
Strategy (3)"	"08/29/2024"	"Email"	"1"	""	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://listings.jobs.gmu.edu"
"76"	"University of Missouri"	NA	"06/26/2024"	"https://erecruit.umsystem.edu/psc/tamext/COLUM/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&SiteId=9&FOCUS=Applicant&SiteId=9&JobOpeningId=52215&PostingSeq=1&"	"08/08/2024"	""	"08/14/2024"	"Email"	"3"	"Quant/Strategy (1) Quant(2)"	"08/26/2024"	"Email"	"4"	"Quant (4)"	"onsite"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://erecruit.umsystem.edu"
"77"	"University of Michigan"	NA	"06/26/2024"	" https://apply.interfolio.com/148757 "	"07/31/2024"	"HELP! see Q&A #73 >> To use the Interfolio link!"	"08/17/2024
08/19/2024"	"Email"	"3 (maybe > 5 more based on slots)"	"Quant (3)"	"08/30/2024"	"Email"	"1"	"CB (1)
Quant (1)"	"onsite"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"78"	"Ithaca College School of Business"	NA	"06/26/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178834357&Title=Assistant%20Professor%20-%20Marketing"	"Review begins mid-Sep"	"$120,000-$130,000"	"09/16/2024"	"Email"	"2"	"CB (2)"	""	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"79"	"Yale"	NA	"06/26/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178834587&Title=Assistant%20Professor%20of%20Marketing"	"rolling but 07/31/2024"	"1 CB, 1 Quant"	"08/06/2024
08/07/2024"	"Email"	"7 (up to 8 based on slots - this may be separate for cb/quant < there were many available slots for quant, but I forgot to count how many - sorry!)"	"CB (4)
Quant (4)"	"08/29/2024"	"Email < Is the 2nd round call for CB or Quant?"	"4"	"Quant (4)"	""	"0"	""	""	""	"not making an offer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"80"	"Indiana University Bloomington"	NA	"06/27/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178835405&Title=Assistant%2FAssociate%2FFull%20Professor%20positions%2C%20Kelley%20School%20of%20Business%20(Marketing)"	"08/01/2024"	"08/01 is for the best consideration date, all areas"	"08/20/2024"	"Email"	"17"	"Quant (4) 
CB(10)
Strategy (3)"	"08/30/2024"	"Phone"	"7"	"CB(5) Quant (2) Strategy (1)"	"onsite"	"2"	"5"	"1"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"81"	"New Mexico State University"	NA	"06/27/2024"	"https://jobs.chronicle.com/job/37674984/assistant-professor/?LinkSource=TopJob"	"Until Filled"	"CB preferred, but open to all; up to $140,000"	"09/22/2024"	"Email"	"8"	"CB (7)
Strategy (1)"	"10/12/2024"	"email"	"6"	"CB (2)"	""	"2"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"83"	"University of Houston"	NA	"06/28/2024"	"https://uhs.taleo.net/careersection/ex2_uhf/jobdetail.ftl?job=FAC003443&tz"	"Until Filled"	""	"08/15/2024"	"Phone"	"17"	"CB (8)
Quant (9)"	"08/30/2024"	"Phone"	"3"	"CB(1) Quant(2)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://uhs.taleo.net"
"84"	"University of Florida"	NA	"06/30/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178838060&Title=Ast%20Prof"	"07/29/2024"	"Preference for AI / machine learning; The position is targeted at highly trained researchers who have published in scholarly, top tier marketing journals."	"08/02/2024"	"Email"	"5"	"Quant (5)"	"08/30/2024"	"Email
Phone"	"Rejection (2)"	"Quant(1)"	"onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"85"	"Oklahoma State University"	NA	"07/01/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178838828&Title=Assistant%20Professor"	"Until Filled"	""	"08/09/2024
08/12/2024"	"Email"	"12"	"CB (7) 
Quant/Strategy (5)"	"09/04/2024"	"Email"	"2"	"CB (1) Quant(1)"	"onsite"	"2"	"3"	"2"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"86"	"University of Wisconsin Eau Claire"	NA	"07/01/2024"	"https://jobs.chronicle.com/job/37676209/marketing-and-supply-chain-management-assistant-professor-in-digital-marketing/"	"08/18/2024"	"Assistant Professor of Digital Marketing"	"08/27/2024"	"Email"	"1"	"Quant (1)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"88"	"Fordham University"	NA	"06/21/2024"	"https://apply.interfolio.com/148491"	"rolling, review starts 07/22/2024"	"$150,000-$170,000"	"08/15/2024"	"Email"	"6 (~14 based on timeslots)"	"CB (1)
Quant (5)"	"09/06/2024"	"Email <- is this CB or quant?"	"?"	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
